name	ACOM	Prec	year	month	day	hour	min	sec	GAST[rad]	stat.no	stat.names	stat.pts	stat.lon[deg]	stat.lat[deg]	stat.alt[m]	stat.angles[deg]	met.angles[deg]	L.sun[deg]	max.mag	max.lum[erg]	catalog	beg.h[km]		end.h[km]		beg.velo[km/s]		end.velo[km/s]		tra.len[km]	tra.com[%]	tra.dur[s]	mass.cep[g]		mass.pec[g]		mass.hal[g]		mass.hil[g]		mass.wer[g]		method	rad.obs.ra[deg]		rad.obs.dec[deg]		rad.obs.azi[deg]		rad.obs.zen[deg]		rad.geo.ra[deg]		rad.geo.dec[deg]		rad.xi		rad.eta		rad.zeta		ep.x	ep.y	ep.z	rad.L_G[deg]		rad.B_G[deg]		rad.L_H[deg]		rad.B_H[deg]		geo.v[km/s]		hel.v[km/s]		A[AU]		ECC		INC[deg]		NODE[deg]		PERI[deg]		MA[deg]		q[AU]		L.sun[deg]
B_at_2021.04.22.15.38.23/2016/03/21/M.6.57.39.500--01	GG	True	2016	3	21	6	57	39.05	4.95046525954492	2	amos-pc;amos-sp	8;8	-68.644202;-68.17933	-22.335379;-22.953424	2535;2404	19.78;	7.6;8.93	0.874088670500146	-1.89359395591682;-1.54229563600353	25.4039958801663;14.5042768234173	_spo	101.064674665502	0.264966114816448	87.5441575868456	0.176493622689981	71.3448353256156	0.248337026559169	71.3448353256156	0.248337026559169	24.997324701309	71.35	0.350373290333099	0.0642057718880123	0.0103046966444729	0.0657013164369796	0.0105447238638681	532362.675257671	84952.9805710176	1.23790754751677	0.197687898367666	0.218478735070535	0.034904981316515	C	278.584619497663	0.0857029021977811	-28.0176017599338	0.130066614357465	289.374613993246	0.151632876523731	56.5860087375586	0.112507667319864	278.585721247427	0.087526512175364	-28.1023637249726	0.13136306180472	0.131775978143297	0.00145401213666219	-0.872912826710001	0.00087537643300971	-0.469742789779186	0.00200401995623378	0.124842993052074	0.484716405390967	-0.865716023549674	277.594993826189	0.084677030682126	-4.88916325378677	0.126877281889439	283.23634306436	0.157022445543589	-8.40552061078294	0.213850623054956	70.128704079547	0.251635079043721	40.8881526465211	0.250181232385136	8.12649659760531	1.5423553630008	0.88327541219267	0.02166632576824	171.397834431342	0.214132934243085	180.871764462151	0.0000587850786200729	333.896784269787	0.597022808502148	0.783930602051982	0.250079950887164	0.948561965673148	0.00163483831072647	0.874088670500146
B_at_2021.04.22.15.38.23/2016/03/21/M.7.7.10.500--01	GG	True	2016	3	21	7	7	10.05	4.99210323753937	2	amos-pc;amos-sp	6;7	-68.644202;-68.17933	-22.335379;-22.953424	2535;2404	47.87;	4.34;2.52	0.88064854160078	0.240802865075262;-0.0689132406957788	1.17670635883588;1.10503610545366	_spo	97.3734529529763	0.098770680316664	88.7613379538804	0.0880311032217974	37.5584526824031	0.242945803646542	37.5584526824031	0.242945803646542	11.2675358047209	66.67	0.3	0.0257637494936527	0.00391949779436435	0.0263638643117315	0.00401079462623292	31165.7836658302	4732.94661733451	0.000026073496584931	3.95192562223735E-6	0.0340700204020882	0.00517067196302053	C	200.748283615153	0.177925096801115	-6.01965709116479	0.101397974235313	133.152266655694	0.215776075921337	23.6282440610986	0.18468123390578	199.516255860713	0.187949728972757	-5.51822184021228	0.10764854640264	-0.929989405271051	0.00123719426846098	-0.352309609265409	0.00283567497874777	-0.104869658638005	0.0017599565847341	0.189734576506512	-0.704427054479475	0.68394686591523	200.100713854374	0.207764142052887	2.52435244355145	0.0591954849336281	152.5771825895	0.392190996311905	2.38781459096483	0.053416912336984	36.0166153480682	0.253104645545863	38.0747881810123	0.114780695833932	2.67761177560697	0.075407072006646	0.928989415176914	0.00306314093918859	5.02671423196702	0.121413846211756	0.87665121353979	0.0000959561604252906	312.857480333608	0.522020711339997	351.753512319839	0.359177668234703	0.190138778115033	0.00433566540886932	0.88064854160078
B_at_2021.04.22.15.38.23/2016/03/21/M.8.15.35.500--01	GG	True	2016	3	21	8	15	35.05	5.29144456610328	2	amos-pc;amos-sp	7;4	-68.644202;-68.17933	-22.335379;-22.953424	2535;2404	13.54;	2.1;2.36	0.927807626697092	-0.779706707393887;1.03493077515797	5.9516675013409;1.60557082643476	_spo	108.111407362568	1.45032192793942	99.1189300398398	0.781139998930327	62.5425914649056	2.07308167554577	62.5425914649056	2.07308167554577	18.7627774394717	32.22	0.3	0.0242344500983064	0.00544566420606845	0.0247989429573745	0.00557251002038397	135365.095638793	24358.6558250723	0.346422628167084	0.129938301056119	0.0635784882966993	0.012143389807884	C	277.074644185175	0.206610554749855	-4.10405136571256	0.517013634601021	252.46528482679	0.777226027974435	45.0117531006459	0.0858463346364108	276.888496224873	0.219363914744123	-3.96373392679424	0.51319693814206	0.122846493579196	0.00349465652254931	-0.989841787497135	0.00106463872337345	-0.0715679728633785	0.0090007196538243	0.443384366215448	0.119257962121483	-0.888362449829098	277.283356596387	0.20555186090526	19.3015540385865	0.523129745630312	284.941178361569	0.875326183671501	35.4660464232453	0.317231664465749	61.2559270267215	2.10727321409857	34.8962796366243	2.13791469226991	1.57507601396749	35.5654222690206	0.410736936987681	0.14088233664178	143.712035372326	0.353943062292801	0.9282865320976	6.2224767863115E-6	139.929440381397	14.376892209558	16.0144031423706	13.278359721761	0.928134116467716	0.0313960890959592	0.927807626697092
B_at_2021.04.22.15.38.23/2016/03/21/M.8.34.2.500--01	GG	True	2016	3	21	8	34	2.05	5.37216828375265	2	amos-pc;amos-sp	6;6	-68.644202;-68.17933	-22.335379;-22.953424	2535;2404	80.06;	3.16;4.46	0.940524843103845	-0.33885442775914;0.161782060788476	2.27779394298241;1.30677647836522	_spo	108.875513323712	0.16988041945684	97.6597477011709	0.132085792186466	68.8506054994783	0.20992606812132	68.8506054994783	0.20992606812132	19.3816590660098	64.48	0.281503102629311	0.00868598646655082	0.00144702071127175	0.00888830908226691	0.00148072615352949	64727.4276565789	10853.5752614832	0.153989035509441	0.0257760729393487	0.0274665040358863	0.00459419530130964	C	278.282872370659	0.0555116865088153	-3.57887586368208	0.0805361441979531	248.431692859184	0.120461962045733	42.099257801072	0.0550562685539015	278.032537616454	0.0562863757884366	-3.4596304064834	0.0815725848029637	0.143779447068582	0.000953897636297644	-0.987639050954924	0.000181187178104282	-0.0624225570568007	0.0014028772488647	0.489307315874854	0.12577734642497	-0.86299386426419	278.522123490126	0.0586371790391661	19.7423361338644	0.08224978410869	285.899885334884	0.128560593504232	33.5852372325528	0.161582638923263	67.6770881239374	0.212827560271125	41.3261986411737	0.198403214680059	12.1328482349197	4.80548166292061	0.921848407307512	0.0175095183014499	145.498507112223	0.167982002937953	0.941036461312652	3.22711109181292E-6	154.092394988065	0.412865561423754	0.422120605937042	0.13877870449937	0.948201413455222	0.00110772225157217	0.940524843103845
B_at_2021.04.22.15.38.23/2016/03/21/M.8.39.5.500--01	GG	True	2016	3	21	8	39	5.05	5.3942633932821	2	amos-pc;amos-sp	6;8	-68.644202;-68.17933	-22.335379;-22.953424	2535;2404	3.83;	3.33;5.31	0.944005690321286	-1.09253127256164;-2.1888904677758	23.2505498378079;30.528436967835	_spo	98.817495111011	1.13248046679393	86.0216187041458	1.06760514228682	55.4844338776181	1.49363162545117	55.4844338776181	1.49363162545117	19.4195518571663	43.14	0.35	0.207338432946087	0.0572745796858405	0.212167965464204	0.0586086760283462	808610.16602758	190414.394746276	0.000415366137093824	0.240338861795479	0.441437034491445	0.110220402397139	C	255.397720477823	2.50500532020435	14.3575974596437	1.78616305562228	203.163435384709	4.49937704784843	39.5181436298104	0.760126022304122	254.900052081875	2.54032166608297	14.8075924543772	1.8289669100306	-0.244233759219707	0.0388666966748736	-0.937474937970692	0.0183632014461515	0.247973005656375	0.0301779819056756	0.894500898214628	-0.316544789575697	-0.31570166183551	251.54610904685	3.36517144421244	37.2844934810858	1.48922429800032	218.989055998374	10.2092363632357	61.8409032333382	0.794445794751905	54.2670748186297	1.50795301217894	37.2867747109317	0.576277280749518	2.27080179509784	0.261045356613194	0.640038887425491	0.043944714960512	108.256680120697	4.40595890993824	0.944121691719058	0.0000300182521349336	237.314493660319	6.47358224237512	348.90069285011	2.33304096260787	0.81740034059961	0.0388753437320603	0.944005690321286
B_at_2021.04.22.15.38.23/2016/03/21/M.8.39.5.500--02	GG	True	2016	3	21	8	39	5.05	5.3942633932821	2	amos-pc;amos-sp	6;13	-68.644202;-68.17933	-22.335379;-22.953424	2535;2404	51.98;	3.33;0.07	0.944005690321286	-1.09253127256164;-0.990640197610708	3.69573814537442;0.497483050499491	_spo	35.9483482326502	1.55137589676469	26.4699595718384	0.129688544888946	0.331474678429755	0.0723103732788438	0.331474678429755	0.0723103732788438	11.9818714934558	0	36.1471698236972	0	0	0	0	55008.5562956996	38677.2713933035	0	0	0	0	C	262.579382598704	1.51267062423161	8.34292575274219	1.27494978162196	217.717806020367	3.16773910650977	37.5826604185602	0.300437453315392	237.563564224408	0.327844324127312	-21.0700924810924	0.345940923249075	-0.127785659046716	0.0253215923019725	-0.981130744728718	0.00708541701238505	0.145097508903728	0.0219765215942252	0.814512174754898	-0.187287675222615	-0.549084004398011	239.962163852601	0.241692089152291	-0.949486263883091	0.394010533763457	105.44626045214	0.091454502342826	-0.504329139111643	0.209041779402859	11.1508271203227	0.00158229354858708	20.9926583422503	0.0333943552503841	0.661897853926414	0.000690837833637561	0.549402408890682	0.000838709395573612	0.520835296457287	0.197886130920411	180.982688478413	3.39341593728668	167.347653415431	3.379543856207	215.546641115898	0.302936740365284	0.298249578539669	0.00086568516602729	0.944005690321286
B_at_2021.04.22.15.38.23/2016/03/21/M.9.3.29.500--01	GG	True	2016	3	21	9	3	29.05	5.50101995887818	2	amos-pc;amos-sp	22;15	-68.644202;-68.17933	-22.335379;-22.953424	2535;2404	22.74;	27.14;11.18	0.960823938618752	-1.79748115564003;1.1782197936694	5.40615856315989;0.864569426928627	_spo	95.509027394318	0.207835714123713	89.470653239633	0.206615263308232	45.0277610197433	0.209595754853327	40.5704627824056	0.2277810416692	45.3344442641823	61.38	1.05	0.115150868431192	0.0104094713256709	0.117833076720682	0.0106519390609065	205672.96852446	18585.5179739185	0.000146106973123762	0.0000131975650047754	0.171945813866648	0.0155246974018817	C	333.234805580127	0.115642227114257	-14.8851550765152	0.0192023753768718	282.643106116658	0.0478200211330263	81.4207211851047	0.103070005553455	334.505881541736	0.119950112331158	-14.5544032770154	0.0189330467990054	0.862897565012617	0.000865215184697541	-0.435223187678264	0.00175032042944891	-0.256882403450426	0.000323897035991634	0.0565742541782365	-0.421914693050415	0.904868689674005	331.104954303265	0.107808051961341	-3.71802181130042	0.0475796696085437	13.494849514141	0.247390134223696	-4.13013160601509	0.0475917138554813	43.2024393298206	0.216659558929507	38.8980335744952	0.162496434805024	3.3113481050237	0.126618974092182	0.986608737325353	0.00103592735151303	18.4054121924543	0.299220198346766	180.96188072958	0.0000207575258392683	202.488725748314	0.296767134578944	4.99091581676722	0.399888213601284	0.0443431322815661	0.00137091709505066	0.960823938618752
B_at_2021.04.22.15.38.23/2016/03/21/M.9.29.1.500--01	GG	True	2016	3	21	9	29	1.05	5.61273516227371	2	amos-pc;amos-sp	7;4	-68.644202;-68.17933	-22.335379;-22.953424	2535;2404	13.46;	3.37;2.04	0.978423181195931	-1.31478097520472;1.02564285106262	9.03565110018388;2.14960592873612	_spo	114.108066927932	0.602672139342573	105.593821730148	0.714128760994438	61.8194412405669	0.612141225873916	61.8194412405669	0.612141225873916	18.5458323721701	50	0.3	0.0272148837423924	0.00665437910025781	0.0278487998193256	0.00680937950127332	146800.527851853	36125.2282768842	0.379584951748647	0.0930635487164585	0.0698814996951858	0.0171186704397663	C	284.286226765171	0.220847740977878	12.4807051117524	0.135868532211323	224.502166390357	0.34457105865904	46.4344098736608	0.0511838056033185	284.01113627156	0.224780886790111	12.79802134641	0.1327639425442	0.240934697125145	0.00376965783898246	-0.946174710658347	0.000466090498285132	0.216110824883456	0.00231555776623502	0.750314105700018	0.040347914223302	-0.659849065018214	286.841239330531	0.248396728124893	35.4217461300321	0.157090472702102	309.413354580936	0.842244238160906	57.3667171376792	0.200004922736546	60.5918266904438	0.623362390725627	41.7014715635357	0.573572124723269	21.1519079384581	96.0120379484995	0.958308948855079	0.0480153801849588	116.638030960669	0.311432566317542	0.978599576022646	2.40581521843224E-6	139.938800297599	1.74928080677528	0.264880526361136	0.302822395452078	0.881845275674915	0.00697355782907014	0.978423181195931
B_at_2021.04.22.15.38.23/2016/03/22/M.0.38.54.500--01	GG	True	2016	3	22	0	38	54.05	3.31053427769673	2	amos-pc;amos-sp	19;18	-68.644202;-68.17933	-22.335379;-22.953424	2535;2404	40.14;	14.39;18.65	1.60545393634153	-2.77060097654709;-1.94174093500293	15.1165775697893;7.38746970138773	_spo	105.216790349133	0.124659857457678	88.8820328143947	0.0925982628254251	40.345728957643	0.122501809734465	28.9059319989989	0.135384147741043	35.8514859574861	83.42	0.948079754040707	0.46840686983084	0.044647077389125	0.479317467434061	0.0456870414181081	505576.836344062	50949.8718457362	0.000471582050918453	0.0000450748758007803	0.619849273298882	0.058993203698525	C	74.7782494189139	0.34893101316094	-78.1816167423883	0.0430879183771708	9.98951414629749	0.0391683051249577	59.2692771814518	0.0764100974080423	67.6963980697853	0.406622832981093	-78.4635423107964	0.0400225959101596	0.0537740203669144	0.00108654317446661	0.197624734314671	0.000958916968457108	-0.978801726153277	0.000154134741215109	0.806934727460307	0.568788455127132	0.159172984305284	289.035956648975	0.215482432256072	-76.5435835610652	0.0756036722986377	83.0571944113457	0.10806088714523	-60.3796238166578	0.0964268934527528	38.8589298784973	0.127223805280636	43.4732644518865	0.113904155249559	-8.11742940461274	0.70768219875173	1.12212376968787	0.011095244393401	60.6538575458204	0.0931594950813138	181.605651608623	7.5150974450346E-7	352.033148832898	0.142463652006614	0	0	0.991331079066469	0.000161492405850105	1.60545393634153
B_at_2021.04.22.15.38.23/2016/03/22/M.7.57.27.500--01	GG	True	2016	3	22	7	57	27.05	5.22930851914895	2	amos-pc;amos-sp	5;5	-68.644202;-68.17933	-22.335379;-22.953424	2535;2404	39.47;	3.55;2.58	1.90759024121807	0.198539896957649;0.322884103076071	1.02578969255911;0.806708744854732	_spo	99.8599777348544	0.120247442611405	88.855207775861	0.138845466905239	62.3434587434388	0.455683196495937	62.3434587434388	0.455683196495937	13.6214541515161	54.23	0.2184905108902	0.00455692191847627	0.000832605417866378	0.00466306626554733	0.000851999289437653	25211.0058493171	4587.99565674182	0.0646997009385114	0.0117657481920097	0.0118845249551633	0.00216136789299442	C	240.565380753545	0.0500766203748367	-12.4735620768191	0.0777091956695146	224.410635317628	0.36064402764074	13.4442966569676	0.0375640586027415	240.003903691672	0.050071828244744	-12.3585213099249	0.0784786003744036	-0.479830242556788	0.000862894890803417	-0.850359716291241	0.000263919929105407	-0.215989099810559	0.00132415184244168	0.733915788325993	-0.254129426210957	-0.629909398548336	240.447294391453	0.0618582692995777	8.05644180307091	0.0692759203180687	216.969098136371	0.285411417036533	12.7052270168601	0.109542633712586	61.2788653407006	0.463201893853973	39.0485179664345	0.427884873122027	3.46942885629941	0.440752095821535	0.906483575794766	0.00928121460037857	158.571130006649	0.28126195147444	1.9084853422851	0.0000129498773971864	294.734546152823	1.69860609841279	353.930756180507	1.25422094156022	0.324448580675575	0.00904052725353684	1.90759024121807
