name	ACOM	Prec	year	month	day	hour	min	sec	GAST[rad]	stat.no	stat.names	stat.pts	stat.lon[deg]	stat.lat[deg]	stat.alt[m]	stat.angles[deg]	met.angles[deg]	L.sun[deg]	max.mag	max.lum[erg]	catalog	beg.h[km]		end.h[km]		beg.velo[km/s]		end.velo[km/s]		tra.len[km]	tra.com[%]	tra.dur[s]	mass.cep[g]		mass.pec[g]		mass.hal[g]		mass.hil[g]		mass.wer[g]		method	rad.obs.ra[deg]		rad.obs.dec[deg]		rad.obs.azi[deg]		rad.obs.zen[deg]		rad.geo.ra[deg]		rad.geo.dec[deg]		rad.xi		rad.eta		rad.zeta		ep.x	ep.y	ep.z	rad.L_G[deg]		rad.B_G[deg]		rad.L_H[deg]		rad.B_H[deg]		geo.v[km/s]		hel.v[km/s]		A[AU]		ECC		INC[deg]		NODE[deg]		PERI[deg]		MA[deg]		q[AU]		L.sun[deg]
B_at_2022.03.05.12.29.13/2015/06/01/M.1.19.17.500--02	GG	TRUE	2015	6	1	1	19	17.05	4.695599795	2	"amos-lp;amos-te"	"38;65"	"-17.88227;-16.512267"	"28.76003;28.30037"	"2339;2416"	"74.38;"	"14.67;23.36"	70.05598398	"-2.13755120896354;-0.935355877085843"	"9.19835063654665;5.55750055742201"	_spo	85.60460031	0.096906852	48.59438349	0.070026705	19.71275513	0.022379453	11.52695845	0.111182227	60.94359164	30.51	3.5887326	33.41056092	24.00228931	13.16888414	7.133034749	11.01174288	5.374662788	17.49754208	10.06380561	26.42224002	16.66534453	C	230.927143	0.023194494	-18.24459394	0.036865519	26.72178284	0.034382129	51.0167525	0.033617492	226.9437101	0.023371545	-22.76756847	0.042811559	-0.598621671	0.000338643	-0.737317192	0.00027151	-0.313074198	0.000611081	0.790582713	-0.480896386	-0.379101095	230.8080738	0.025059133	-4.99435032	0.040915501	183.6717491	0.029763682	-2.160161287	0.017202345	16.44282001	0.027234807	37.96364273	0.020314298	2.874298761	0.014467233	0.715571453	0.001477515	2.358981797	0.018721071	249.9676819	0.000701199	57.70300121	0.03383232	352.2416581	0.064321222	0.817532622	0.00026082	70.05598398
B_at_2022.03.05.12.29.13/2015/06/01/M.5.12.18.500--01	GG	TRUE	2015	6	1	5	12	18.05	5.715110556	2	"amos-lp;amos-te"	"16;14"	"-17.88227;-16.512267"	"28.76003;28.30037"	"2339;2416"	"32.72;"	"20.85;14.6"	70.21104743	"-3.88829785521465;-2.86341129408465"	"81.8998687000475;74.1805676771944"	_PAQ	105.5163827	0.164950134	71.4286802	0.133787876	71.45895244	0.126126082	71.45895244	0.126126082	53.59421433	86.67	0.75	0.607362264	0.067632849	0.621509549	0.069208221	5060153.006	560970.5428	11.75480086	1.304032359	2.073652485	0.230126521	C	347.2372138	0.025768278	-1.311752829	0.089956739	303.2688427	0.0924047	46.94302282	0.064791792	346.9953162	0.026213441	-1.613636713	0.090758292	0.975037454	0.000103901	-0.220857194	0.000438922	-0.022892406	0.001569631	0.169431652	0.673417939	0.719584043	347.4070616	0.041817223	3.64880653	0.084747416	352.8851718	0.079515827	6.187942092	0.143194578	70.34066624	0.127796285	41.53449132	0.125417296	35.83738212	57.95800031	0.973071653	0.011307613	173.6580229	0.148074531	70.18126625	0.00073828	154.4197006	0.269614514	0.083093139	0.055003828	0.965041478	0.000778094	70.21104743
B_at_2022.03.05.12.29.13/2015/06/02/M.4.2.17.500--01	GG	TRUE	2015	6	2	4	2	17.05	5.425971913	2	"amos-lp;amos-te"	"7;6"	"-17.88227;-16.512267"	"28.76003;28.30037"	"2339;2416"	"39.82;"	"2.68;2.31"	71.1224871	"-1.17295606342919;-0.00644716843987558"	"21.1397579165664;7.987718289041"	_TOP	85.53118709	0.15847028	79.17583706	0.155271758	39.56690716	0.1848781	39.56690716	0.1848781	12.78625021	53.58	0.32315516	0.307741658	0.061384464	0.314909882	0.062814292	435239.7071	86147.01434	0.000341169	6.76935E-05	0.425220656	0.084566358	C	267.4942912	0.18968344	-12.68837111	0.331092556	36.05068772	0.139069085	48.54437757	0.364745035	266.1604609	0.191114633	-13.56089013	0.330103008	-0.042651275	0.003184734	-0.974646364	0.00137702	-0.219648203	0.005638551	0.864877207	0.074042885	-0.496492768	266.2119872	0.181548527	9.82791658	0.333973665	222.6281959	0.171205927	9.025354794	0.307898122	38.16183165	0.193102752	41.52533291	0.190034225	35.13240367	163.2368095	0.992959742	0.004431892	18.40820343	0.562568978	71.13458679	0.000354432	301.156707	0.258849114	359.82759	0.177790185	0.247341183	0.002029713	71.1224871
B_at_2022.03.05.12.29.13/2015/06/03/M.21.8.5.500--01	GG	TRUE	2015	6	3	21	8	5.05	3.648141765	2	"amos-lp;amos-te"	"23;23"	"-17.88227;-16.512267"	"28.76003;28.30037"	"2339;2416"	"75.71;"	"4.83;9.82"	72.76230553	"-1.91750125275312;-0.955398240246656"	"9.7908109352473;3.56873683106329"	_spo	78.47292988	0.162597514	64.23552598	0.077135345	18.16528368	0.076937356	15.25412475	0.138421479	18.97477258	90.98	1.112833148	11.80576386	2.433102683	5.181903546	0.389044313	4.42041889	0.332419179	7.679880307	0.576521732	9.37343736	0.703418749	C	227.1719566	0.035071999	6.803350647	0.056279896	296.6096532	0.151891138	39.169623	0.218999676	229.6359501	0.066295236	3.879981922	0.077668567	-0.675013588	0.000414942	-0.728233068	0.000459102	0.118462037	0.00097537	0.514600282	-0.349637615	0.782904904	226.0613975	0.085796347	21.37511865	0.063434593	180.7644519	0.082495314	7.879758017	0.052650878	14.06811106	0.098061188	37.4002776	0.078821833	2.531796251	0.043200126	0.647533826	0.006040558	8.279026589	0.058574739	72.78074491	0.00014607	226.0264682	0.102840899	351.8021034	0.238041168	0.892372539	0.000413078	72.76230553
B_at_2022.03.05.12.29.13/2015/06/03/M.23.54.14.500--01	GG	TRUE	2015	6	3	23	54	14.05	4.375092859	2	"amos-lp;amos-te"	"7;13"	"-17.88227;-16.512267"	"28.76003;28.30037"	"2339;2416"	"7.49;"	"1.98;4.58"	72.87277137	"0.420673373565751;-0.51065495514237"	"1.29550237901381;1.51493922806285"	_spo	84.93258676	0.730362978	75.12493432	0.651438336	19.71746275	0.27807772	19.71746275	0.27807772	11.83047765	41.67	0.6	0.366709332	0.068323266	0.484554037	0.09283246	0.481267623	0.089196901	0.876855649	0.281412199	0.694588473	0.140548662	C	237.7914243	0.987737784	23.90098457	0.459598389	322.6525425	5.457293472	5.474255077	0.88822504	236.5647617	1.0768883	23.54161254	0.510888996	-0.487296321	0.011583429	-0.77355663	0.011163749	0.405157297	0.007331704	0.794236424	-0.199776032	0.573827535	227.071315	1.474559362	42.12703555	0.197368877	179.9122157	0.245172889	16.77295869	0.245540398	16.25858021	0.344464664	37.79121143	0.407484095	2.764124715	0.254022809	0.669254301	0.030176031	17.49609554	0.259073476	72.88290088	0.000177787	221.0723486	1.530375841	353.5063257	1.243072595	0.914222362	0.004608533	72.87277137
B_at_2022.03.05.12.29.13/2015/06/04/M.21.21.2.500--01	GG	TRUE	2015	6	4	21	21	2.05	3.722004837	2	"amos-lp;amos-te"	"32;34"	"-17.88227;-16.512267"	"28.76003;28.30037"	"2339;2416"	"47.2;"	"11.8;14.72"	73.72819887	"1.10647660012692;-0.582951335659279"	"0.837375186781545;1.96247089092983"	_spo	86.51579665	0.134978723	74.50683038	0.085642436	18.95547136	0.016873749	16.72529845	0.037128401	31.3028362	92.06	1.68548283	0.935099556	0.066844635	1.068853285	0.062110805	0.998558848	0.058029203	1.75674639	0.102004881	1.673444604	0.097317422	C	108.8375911	0.110423574	52.70440707	0.037025403	138.3390995	0.050564904	65.4895343	0.061083717	97.21728148	0.118185254	48.99739793	0.037902056	-0.195645845	0.001180347	0.57347231	0.00048462	0.79552009	0.000391533	0.505424186	-0.636198266	0.582922087	95.24804341	0.085991183	25.68951575	0.038002432	142.5379216	0.026745318	10.39389617	0.021130494	15.66779014	0.020686871	37.64438159	0.022215225	2.673521401	0.013502396	0.680283342	0.001508447	11.13041871	0.023554206	73.74155669	3.32095E-05	127.6560141	0.106325892	8.218948336	0.077763839	0.854769327	0.000458486	73.72819887
B_at_2022.03.05.12.29.13/2015/06/05/M.4.43.37.500--01	GG	TRUE	2015	6	5	4	43	37.05	5.658426349	2	"amos-lp;amos-te"	"10;9"	"-17.88227;-16.512267"	"28.76003;28.30037"	"2339;2416"	"30.8;"	"1.49;3.07"	74.02237282	"-0.388621432254784;0.126899623274174"	"6.07771357226379;3.4053705522503"	_spo	99.33974193	0.294771116	85.81682923	0.570101315	40.85458554	0.98218633	40.85458554	0.98218633	25.79369758	28.72	0.631353794	0.176282028	0.042529616	0.180388164	0.043520258	274458.303	57406.24388	0.000206696	4.53484E-05	0.251041234	0.057255517	C	11.65530191	0.17863675	56.24114408	0.272392362	219.0098962	0.348557283	52.48864187	0.087300202	12.90375291	0.162214288	56.64474507	0.287535713	0.54424063	0.003659062	0.112264101	0.002290982	0.831383731	0.00263869	0.801484843	0.223187248	-0.55480582	39.69732621	0.220822309	45.84939643	0.258821193	105.6076819	1.620703852	46.42346024	0.396132796	39.10563891	1.018862313	38.73034032	0.657144984	3.565564104	1.70614653	0.824727843	0.035814581	63.51192582	1.354254301	74.02566086	0.000102334	98.64485435	1.518644959	6.324472669	1.924956006	0.62494411	0.004697454	74.02237282
B_at_2022.03.05.12.29.13/2015/06/06/M.2.18.42.500--01	GG	TRUE	2015	6	6	2	18	42.05	5.041580014	2	"amos-lp;amos-te"	"18;27"	"-17.88227;-16.512267"	"28.76003;28.30037"	"2339;2416"	"85.52;"	"7.99;9.26"	74.88305496	"-0.783259793203108;-1.49971468829532"	"3.80415783265835;4.23559788889855"	_spo	90.69180591	0.099815352	74.54026386	0.085896749	19.04579452	0.082213867	16.66519333	0.069476439	23.52615907	70.1	1.3	2.267755879	0.243881786	3.025836508	0.302165174	2.756118375	0.275860211	4.568738388	0.481683125	4.922573415	0.489528834	C	237.8915327	0.039289353	1.496702909	0.048343915	56.96192504	0.064301549	42.42477481	0.044703967	233.2809778	0.055676107	-1.531710075	0.074658685	-0.531342424	0.000581327	-0.846754394	0.000363939	0.026119423	0.000843471	0.566105598	-0.37783346	-0.732643384	231.2917146	0.048239165	17.11020356	0.080900393	185.8551969	0.10507373	6.976215029	0.062180845	15.75497205	0.10101309	38.15890231	0.065957575	3.032926573	0.049633268	0.716340834	0.00511886	7.464341015	0.071173959	74.91146822	0.000275898	230.5134476	0.057129071	353.4664012	0.184021741	0.860317422	0.000784617	74.88305496
B_at_2022.03.05.12.29.13/2015/06/06/M.3.26.58.500--01	GG	TRUE	2015	6	6	3	26	58.05	5.340265093	2	"amos-lp;amos-te"	"14;15"	"-17.88227;-16.512267"	"28.76003;28.30037"	"2339;2416"	"38.54;"	"11.42;20.94"	74.92843048	"-2.71536378865777;-2.86341129408465"	"50.0724657958047;28.1307373528774"	"_OMC;_TTS"	108.8672417	0.246658124	89.83988629	0.116932749	66.13015611	0.124371647	66.13015611	0.124371647	46.65628528	85.83	0.70552208	0.382643807	0.048405929	0.391556726	0.049533448	2526615.99	320007.4128	6.183308352	0.782741862	1.116532303	0.141317659	C	323.9745879	0.044725251	-25.16789412	0.097685115	324.8400278	0.085921898	62.9337622	0.072975585	323.7340161	0.04522978	-25.74823613	0.099585451	0.731977348	0.000864677	-0.532308855	0.000527185	-0.425272202	0.001542805	0.680228307	0.535490739	0.500538828	317.6644819	0.061880811	-10.75640885	0.088775409	298.3074644	0.132573839	-16.90679143	0.138961661	64.97945281	0.126096475	41.70334317	0.109896839	94.08214753	143.0725348	0.994445127	0.005322792	156.1246009	0.229699229	254.9376882	8.84089E-05	88.43859651	0.424505025	359.9570911	0.084258007	0.522614385	0.002551902	74.92843048
B_at_2022.03.05.12.29.13/2015/06/06/M.3.46.27.500--01	GG	TRUE	2015	6	6	3	46	27.05	5.42550993	2	"amos-lp;amos-te"	"6;9"	"-17.88227;-16.512267"	"28.76003;28.30037"	"2339;2416"	"34.69;"	"3.62;7.55"	74.94137743	"-2.64227327082835;-3.09506691828772"	"80.4240363177127;68.4248526001016"	_spo	106.3565441	0.16379695	95.98876021	0.174535149	55.65482552	0.266064523	55.65482552	0.266064523	22.26193021	49.71	0.4	0.753000111	0.117243123	0.770539737	0.119974066	2963803.623	462919.4486	0.00151662	0.000236271	1.611230364	0.250979865	C	355.2441817	0.282444508	42.03269077	0.135855211	237.1994372	0.195338484	50.54212364	0.199254637	355.5329812	0.287486188	42.16516829	0.136302677	0.740205657	0.001334398	-0.061582034	0.003760412	0.669554507	0.001761531	0.660403592	-0.120528587	-0.741174714	16.15436401	0.318405533	39.7055107	0.062812731	58.73012761	0.494551281	56.686567	0.208422187	54.25853572	0.271516769	41.4776745	0.263755367	31.46024837	2294.879538	0.976822872	0.017954505	100.3973535	0.274146319	74.94193434	1.75897E-05	115.4988059	0.651474473	0.204819458	0.228384104	0.729158192	0.003779362	74.94137743
