name	ACOM	Prec	year	month	day	hour	min	sec	GAST[rad]	stat.no	stat.names	stat.pts	stat.lon[deg]	stat.lat[deg]	stat.alt[m]	stat.angles[deg]	met.angles[deg]	L.sun[deg]	max.mag	max.lum[erg]	catalog	beg.h[km]		end.h[km]		beg.velo[km/s]		end.velo[km/s]		tra.len[km]	tra.com[%]	tra.dur[s]	mass.cep[g]		mass.pec[g]		mass.hal[g]		mass.hil[g]		mass.wer[g]		method	rad.obs.ra[deg]		rad.obs.dec[deg]		rad.obs.azi[deg]		rad.obs.zen[deg]		rad.geo.ra[deg]		rad.geo.dec[deg]		rad.xi		rad.eta		rad.zeta		ep.x	ep.y	ep.z	rad.L_G[deg]		rad.B_G[deg]		rad.L_H[deg]		rad.B_H[deg]		geo.v[km/s]		hel.v[km/s]		A[AU]		ECC		INC[deg]		NODE[deg]		PERI[deg]		MA[deg]		q[AU]		L.sun[deg]
B_at_2022.01.17.14.55.57/2016/03/21/M.6.57.39.500--01	GG	True	2016	3	21	6	57	39.05	4.95046525954492	2	amos-pc;amos-sp	7;7	-68.644202;-68.17933	-22.335379;-22.953424	2535;2404	19.81;	7.09;7.99	0.874447381304791	-1.88601577723595;-1.11866592773606	25.1908115004273;9.4764704898709	_spo	99.017152787569	0.157613188680905	87.5098715876322	0.102511904190285	70.9397033660997	0.249331792313872	70.9397033660997	0.249331792313872	21.4058896456641	66.86	0.301747662168734	0.0554501392449809	0.00862933615863189	0.056741738910381	0.00883033921916294	451977.330979942	69408.2738680861	1.05471818644324	0.1623536189208	0.186455851315003	0.0287352189086411	C	278.563419409262	0.127512676083532	-27.9281540046428	0.177143015875582	289.730718577435	0.24804570220389	57.1942880067363	0.199878258485416	278.568281697716	0.129894586946094	-28.0120606068206	0.178933703235791	0.131562018929114	0.0021533611547206	-0.873685628548204	0.00115151903635717	-0.468364022576058	0.00273161171478387	0.126038548462651	0.483378866683591	-0.866290456801363	277.584971638716	0.125228089587196	-4.79810405414605	0.172030527451431	283.274920405303	0.22486387460276	-8.28451854261522	0.293518183169905	69.7182594232761	0.252702995552807	40.4723290659326	0.250877082987309	6.20649662601668	1.07235445281626	0.847385982430627	0.0215384191312792	171.520474315881	0.293391203715455	180.875664174362	0.0000116935937846295	333.210664087558	0.725377686962861	1.21574714612226	0.280028767648762	0.947198385127163	0.00214508804941833	0.874447381304791
B_at_2022.01.17.14.55.57/2016/03/21/M.9.3.29.500--01	GG	True	2016	3	21	9	3	29.05	5.50101995887818	2	amos-pc;amos-sp	21;15	-68.644202;-68.17933	-22.335379;-22.953424	2535;2404	22.76;	25.8;11.12	0.961182750105587	-1.79894102322298;1.02201174019531	5.41481543279947;0.997164686907916	_spo	95.1294514741739	0.161712280959645	89.5245734272692	0.157396149953475	44.9711898000752	0.0687721406573875	40.6056061149412	0.153539661137528	43.1458597873736	64.39	1	0.109846765417731	0.0100604895807677	0.112405425276672	0.0102948284869132	196747.476755051	17542.7695127322	0.000139561761496461	0.0000125869424480783	0.164191049688527	0.0148816560607229	C	333.394614084071	0.118037049543422	-14.8973162283615	0.0194904592041186	282.710466657445	0.0485303399095828	81.5605852158438	0.105293622666931	334.675491380824	0.122228111572793	-14.5627002039276	0.0192300558922611	0.864059354869782	0.000878515448971023	-0.432790289431986	0.00178868417648221	-0.257087527187518	0.000328735279863588	0.057647628399486	-0.422279210926963	0.904630874422721	331.25544194935	0.109917862083697	-3.78487265753709	0.0483282569148462	13.6797286032479	0.119613352406704	-4.19510211866593	0.0479357488759798	43.1439460076484	0.0710261578185728	38.9318801449057	0.0745231026768967	3.3446308904073	0.0726635168438292	0.986332653900732	0.000315358935615506	18.4277816423538	0.130544142010696	180.962461862679	7.72547680374683E-6	202.861707090371	0.248445145122861	4.92339212583402	0.165430135165017	0.0457122279535002	0.000898198163597408	0.961182750105587
B_at_2022.01.17.14.55.57/2016/03/22/M.0.38.54.500--01	GG	True	2016	3	22	0	38	54.05	3.31053427769673	2	amos-pc;amos-sp	19;17	-68.644202;-68.17933	-22.335379;-22.953424	2535;2404	40.12;	14.33;16.4	1.60581320777898	-2.36588626278753;-2.22725687494432	10.4191336075363;9.63716591473101	_spo	104.171774622093	0.099247055149384	88.9646879238533	0.0667427088775375	38.0229477810165	0.545228718347411	28.3359027718714	1.60613151618334	33.7184772135901	89.33	0.9	0.420553146142977	0.0414835370061569	0.430375914214914	0.0424526423134682	449012.305619158	49958.0186213682	0.000423162323905496	0.0000422136451356031	0.556775729619186	0.0550325070000903	C	74.6871601410499	0.360953485941304	-78.1665023679389	0.0315784747325325	9.8844829263914	0.0420164481034982	59.8090096791751	0.071798630595499	66.8729589386065	0.513761746169277	-78.5305554979672	0.0363927287607312	0.0541563245200804	0.00115911331123762	0.197788024280632	0.000784683088464128	-0.978747664092048	0.000112939951740039	0.806771035212342	0.568899517429572	0.159605249947511	289.377441017902	0.261726599133097	-76.3852578456729	0.089599908716344	83.4708621667714	0.103307423314763	-58.2338798985016	0.500791631095566	36.4374326459393	0.56873064564292	41.653006112554	0.43621264920147	19.4429576148209	12.7369467851122	0.94904254906275	0.0412091491163592	58.4926118946058	0.500671738542092	181.605155652162	0.0000154136314054138	351.227955240886	0.28154489831771	0.0725406034941192	0.0259603296225033	0.990763558732266	0.000260233857446162	1.60581320777898
B_at_2022.01.17.14.55.57/2016/03/22/M.8.3.24.500--02	GG	True	2016	3	22	8	3	24.05	5.25534136951839	2	amos-pc;amos-sp	7;7	-68.644202;-68.17933	-22.335379;-22.953424	2535;2404	76.55;	4.55;3.69	1.91204838467515	-1.21101028724463;-1.19136093487881	8.25761798851036;6.15411942130496	_spo	108.610933608593	0.108011952606453	91.190299584372	0.14431052740647	67.3133811658365	0.13823493858044	67.3133811658365	0.13823493858044	21.9973027666086	69.4	0.326789449372852	0.0417786347526193	0.00640426522911337	0.0427517841694125	0.00655343972965901	290940.6261094	44539.8663816726	0.702956728964849	0.107627299715556	0.126250079712745	0.019331341800093	C	251.236586753257	0.0238383897592081	-14.251530163994	0.0175360114377668	246.533640194943	0.0568968856649331	19.3836249462829	0.022020894072003	250.757084555367	0.0240541729790508	-14.1874210830962	0.0176830738678924	-0.311761802608763	0.000382191867103578	-0.917714765570277	0.000149086809297487	-0.246179177609372	0.000296643591266549	0.517894250643893	0.0530959878121442	-0.853795268918874	251.175873106236	0.0234272851738755	8.00320752738708	0.0178430929665419	236.073450397951	0.0667766987200722	13.3586537532423	0.0338751803394194	66.2632147526107	0.140147998129549	39.9303255934974	0.134801043898104	4.7693562051625	0.305861181698492	0.864421832437565	0.00736797864695962	163.672747615993	0.0465210664159072	1.91333161105387	2.22031080503127E-6	255.954763502825	0.535483511389079	356.191655756665	0.345967045009268	0.646620574748462	0.0026536419044337	1.91204838467515
B_at_2022.01.17.14.55.57/2016/03/23/M.2.34.16.500--01	GG	True	2016	3	23	2	34	16.05	3.83249656733631	2	amos-pc;amos-sp	18;8	-68.644202;-68.17933	-22.335379;-22.953424	2535;2404	43.17;	15.59;4.73	2.67713207178608	-0.98332163697439;0.730728460557503	2.43982781394578;1.02418431881822	_spo	99.0267674872735	0.100012023734785	91.4941290496755	0.0793067533488562	32.915515086278	0.324109100485159	27.4167883792865	0.0722370404477603	26.4415579109531	41.43	0.85	0.22865415160422	0.0264809092269044	0.234033345504987	0.0270988843740519	0.360888132231788	0.0414624205085596	0.000165030581451128	0.0000189059222604511	0.274195207430978	0.0316534102021533	C	197.679274093401	0.193220149164829	33.1392325969256	0.147605754989588	220.114931780729	0.0478999958061757	71.1518909631303	0.214272909313715	198.944641096844	0.233183470342083	35.3298962393653	0.161681490587694	-0.797797969778533	0.00215531187278755	-0.254291861718532	0.00230499131420663	0.546675450775846	0.0021571395149419	0.158717881874896	0.786147179024261	0.597311683198431	180.963759608949	0.124069032312285	39.4883859470846	0.230557461448027	129.866268368063	0.322411519324369	26.966609842115	0.170352307569132	30.7064858306478	0.345465430926127	43.0610055752427	0.273380453510219	-11.9529301576763	5.89300140519373	1.05986385060981	0.0188421477143095	32.565854106809	0.252709854637288	2.67488421864637	0.0000147077861324316	243.149569466038	0.200139851175332	0	0.058238619908749	0.715548425308576	0.00177115352584249	2.67713207178608
B_at_2022.01.17.14.55.57/2016/03/23/M.6.40.21.500--01	GG	True	2016	3	23	6	40	21.05	4.90917734495779	2	amos-pc;amos-sp	30;26	-68.644202;-68.17933	-22.335379;-22.953424	2535;2404	27.8;	25.16;16.41	2.84657027728516	-0.821790468783477;1.0324990379622	4.03811333616782;1.05310838564515	_spo	105.027430657472	0.127680061519392	93.45165569406	0.164138803895149	38.3844469669158	0.0679049715409844	35.6989539532794	0.0984027897496449	55.0650643963003	89.68	1.45	0.21472182533322	0.0151480577995942	0.219723339153216	0.0155009013929886	250221.227927168	19396.4846359675	0.000219176666296321	0.0000155327013038199	0.28529303246878	0.0201545551117877	C	67.6137709241038	0.119304317132237	-79.070537336126	0.0888832090587675	6.41235803197028	0.0411248255839761	76.7356159458459	0.0825199747580949	65.5031635293224	0.0996461038856916	-77.0442143187222	0.0875439115611046	0.0722089473150175	0.000850722347216118	0.175311622310099	0.00132365012360177	-0.981861346123096	0.000294308749980868	0.578983216783239	-0.808951965786109	-0.101858488768109	294.878421993677	0.335147566482647	-77.2337385619609	0.05179073424702	83.8373170299132	0.0762555599418044	-57.7927581616074	0.0545592441537795	36.7970821736683	0.0711931981032385	42.4138454750523	0.0768049620219083	-46.71646039676	28.1969365068535	1.02119017755363	0.00726899785601694	58.1127483269777	0.0529869624985204	182.847999888343	3.1150421102209E-8	350.522896211163	0.0680204452667732	0	0	0.989930090484555	0.000108650903941858	2.84657027728516
B_at_2022.01.17.14.55.57/2016/03/23/M.8.58.10.500--01	GG	True	2016	3	23	8	58	10.05	5.5121623344954	2	amos-pc;amos-sp	13;11	-68.644202;-68.17933	-22.335379;-22.953424	2535;2404	16.73;	15.81;11.2	2.94145532685184	-3.36221398529381;-1.80317398555228	33.150418654572;14.2382814810071	_spo	108.851377127303	0.115902586896199	91.2809157400839	0.150144623031531	58.3491245427043	0.116994717070334	58.3491245427043	0.116994717070334	35.0094747256226	75	0.6	0.280990371045666	0.0568512030331057	0.287535477589399	0.0581754376665074	1274501.58128573	257441.509532887	0.000614756724072815	0.000124243108045817	0.650978225272147	0.131565488407849	C	294.326805974936	0.194131278841862	-65.8299085430535	0.113886391807853	337.868503366667	0.0735752960656516	52.8221873677425	0.125899863919851	294.303088721251	0.204508438368928	-66.4371578912414	0.116110839893562	0.168667828083754	0.000598312521914797	-0.373092328941013	0.00220332403095597	-0.912333972761554	0.000813910558000793	0.804946863801867	-0.482058084869503	0.345948766824635	283.246961068962	0.0765165902909417	-44.1119736408172	0.130942846675476	309.633718922907	0.505808162203059	-71.7657392443643	0.164208525143472	57.152959868935	0.119100475842803	41.8853267156105	0.0801265336599758	34.7253642741461	25.8553744114559	0.972312048238722	0.0072764985874616	104.798131468207	0.22795306498917	182.943826044686	1.50830545620458E-6	338.13876407045	0.13121331764405	0.0734780377267366	0.02762748598228	0.961474210915377	0.000331327627635579	2.94145532685184
B_at_2022.01.17.14.55.57/2016/03/23/M.23.42.29.500--01	GG	True	2016	3	23	23	42	29.05	3.09810032562753	2	amos-pc;amos-sp	15;9	-68.644202;-68.17933	-22.335379;-22.953424	2535;2404	81.39;	3.64;2.24	3.55017355298865	-1.21807108674186;-0.0667210747149631	2.71121706724975;1.4746568103435	_spo	88.4216459846152	0.087587054111655	79.7331690174779	0.0806086821911785	14.7591176258641	0.0796686416061704	14.7591176258641	0.0796686416061704	10.3313823381049	50	0.7	7.77087282554025	0.919236504630579	1.91055180793153	0.226660013530297	1.3753950612987	0.162690017749022	2.50504104212611	0.296581299003783	4.58072676920517	0.55178665525265	C	117.727821534651	0.059118033858339	-15.3927846420492	0.103763300137413	231.897144366143	0.292479695521227	10.8823079658801	0.104675925591916	117.245920026101	0.0724661088887121	-13.8826276811142	0.125763577055896	-0.448582073929785	0.00106114599039478	0.853415807357108	0.000307204072773137	-0.26543470515716	0.00174617238906273	0.491454861320579	0.483599000807924	0.724295606573689	122.54497622291	0.0610352982836023	-34.2946021914526	0.134990572333323	98.7687543071072	0.0620424807937148	-8.34653153000731	0.091794480299394	9.62564830654363	0.121442206933851	37.3629315252623	0.100720723313303	2.3124018327702	0.0457649933466129	0.573652686187582	0.00843093234238192	8.38067794055854	0.0928432008936466	183.557918845797	0.000104941072164013	14.1843246597311	0.0504918101651682	356.826492062777	0.096544927276269	0.985886309856486	0.000160451614603274	3.55017355298865
B_at_2022.01.17.14.55.57/2016/03/24/M.2.5.0.500--01	GG	True	2016	3	24	2	5	0.0499999999999972	3.72164908155293	2	amos-pc;amos-sp	10;17	-68.644202;-68.17933	-22.335379;-22.953424	2535;2404	48.59;	4;4.5	3.64824349509496	0.438799348025733;-0.902647510187767	0.846186032649032;1.32755366910761	_spo	77.8570854544137	0.0900306012371613	69.4923375619017	0.0767771816997936	18.2630413116329	0.212203723452677	9.0665088380934	0.0831581660504419	11.7579912727704	57.6	0.8	3.17760963126418	0.495576836237487	1.13237991455884	0.135697857631359	0.789543728878031	0.0939668851400289	1.5407521366564	0.180430392470141	4.41213670814529	0.678612636821675	C	157.355191515844	0.0445599666690126	13.2287247046873	0.0918020716927171	199.628998164519	0.044613786422955	38.1352573370102	0.0977260817563243	156.950137039478	0.0782135742942412	17.7463477868245	0.201498575291742	-0.898419346727976	0.000229371295887431	0.374800505270967	0.000809056638652409	0.228838936095903	0.00155987617453656	0.432368183750067	0.846122762800164	0.311663318265216	152.132927858804	0.038179245781543	7.54589858755319	0.211432186077229	111.005304673528	0.284292807968731	2.76598866096776	0.0445075540364103	14.3817733490695	0.276577224796888	39.1358371948323	0.205221413147314	3.57818014730065	0.16483724759291	0.75029988908027	0.0166179790705972	2.89807133817591	0.0446065362274172	3.6265901531961	0.000322447528621648	220.758883257744	0.106168240379651	355.858947761341	0.469115180855654	0.893471979671747	0.00184903937348919	3.64824349509496
B_at_2022.01.17.14.55.57/2016/03/24/M.4.26.27.500--01	GG	True	2016	3	24	4	26	27.05	4.34053088345171	2	amos-pc;amos-sp	9;12	-68.644202;-68.17933	-22.335379;-22.953424	2535;2404	27.81;	3.01;5.51	3.74558542905814	1.02484769382272;0.929029036845156	1.35497036028876;0.849865313771161	_spo	77.3038902973393	0.131977483002001	70.4238348873984	0.114471182541418	21.2493470108123	0.0411003601548314	21.2493470108123	0.0411003601548314	11.6871408559468	64.22	0.55	0.370212096112941	0.0401521253280933	0.461363497987627	0.0501595015982783	0.492084134885426	0.053343089005111	0.000169457304304377	0.0000183311092324161	0.607230525885686	0.0662507308146285	C	186.85061647274	0.128954636751037	19.8410918681036	0.199124761077635	188.721349505301	0.137263412054783	43.2394174892599	0.213368924968448	185.958862033134	0.141466117801816	23.6407988791278	0.216215171465455	-0.933921924589793	0.00140508684999277	-0.112200315984476	0.00197527099857102	0.33941262183879	0.00326866078169209	0.0629488429606577	-0.986247651577248	-0.152816926183839	175.465787171905	0.0561429835566294	23.937573941917	0.24679393022492	119.911442936993	0.0677134137750363	11.5288296683963	0.121083838183844	18.0547967673063	0.0481070617420417	36.6530658319383	0.0285094528129704	2.0345618075013	0.00970979815035808	0.631009945257995	0.00198037507623348	12.8041523160746	0.132048255206074	3.74336332233343	0.000026193980787382	248.815456639407	0.113134450372184	345.20842038757	0.125117777408545	0.750733072725895	0.00086762898283317	3.74558542905814
